[2026-04-14 22:50:59 -0300] [27434] [ERROR] Can't connect to ('127.0.0.1', 5001)
[2026-04-14 22:51:04 -0300] [27441] [INFO] Starting gunicorn 25.3.0
[2026-04-14 22:51:04 -0300] [27441] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:51:04 -0300] [27441] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:51:05 -0300] [27441] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:51:05 -0300] [27441] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:51:06 -0300] [27441] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:51:06 -0300] [27441] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:51:07 -0300] [27441] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:51:07 -0300] [27441] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:51:08 -0300] [27441] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:51:08 -0300] [27441] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:51:09 -0300] [27441] [ERROR] Can't connect to ('127.0.0.1', 5001)
[2026-04-14 22:51:14 -0300] [27476] [INFO] Starting gunicorn 25.3.0
[2026-04-14 22:51:14 -0300] [27476] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:51:14 -0300] [27476] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:51:15 -0300] [27476] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:51:15 -0300] [27476] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:51:16 -0300] [27476] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:51:16 -0300] [27476] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:51:17 -0300] [27476] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:51:17 -0300] [27476] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:51:18 -0300] [27476] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:51:18 -0300] [27476] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:51:19 -0300] [27476] [ERROR] Can't connect to ('127.0.0.1', 5001)
[2026-04-14 22:51:25 -0300] [27477] [INFO] Starting gunicorn 25.3.0
[2026-04-14 22:51:25 -0300] [27477] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:51:25 -0300] [27477] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:51:26 -0300] [27477] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:51:26 -0300] [27477] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:51:27 -0300] [27477] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:51:27 -0300] [27477] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:51:28 -0300] [27477] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:51:28 -0300] [27477] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:51:29 -0300] [27477] [ERROR] Connection in use: ('127.0.0.1', 5001)
